sample_key,DOI,doi_url,paper_title,sample_id,composition,material_system,n_or_p,n_rows_step22,n_pf_eval_rows_step22,n_zt_obs_eval_rows_step22,n_zt_calc_eval_rows_step22,sigma_fitting_log_rmse_step22,sigma_ML_log_rmse_step22,sigma_log_rmse_gap_ML_minus_fitting_step22,pf_fitting_mape_step22,pf_ML_mape_step22,pf_mape_gap_ML_minus_fitting_step22,zt_obs_fitting_mape_step22,zt_obs_ML_mape_step22,zt_obs_mape_gap_ML_minus_fitting_step22,zt_calc_fitting_mape_step22,zt_calc_ML_mape_step22,zt_calc_mape_gap_ML_minus_fitting_step22,zt_obs_max_step22,zt_pred_fitting_max_step22,zt_pred_ML_max_step22,zt_calc_from_obs_max_step22,sintering_method,sintering_checked,record_checked,comparison_category_step22,comparison_note_step22,step22_problem_reason,needs_step23_error_analysis
10.1002_aenm.201601450__sample_3198,10.1002/aenm.201601450,https://doi.org/10.1002/aenm.201601450,,3198,PbTe0.85Se0.15Na0.02(SrTe)0.04,unknown,p,14,4,1,1,0.39854613434851754,1.0193828859555722,0.6208367516070548,0.2231150862873969,0.6565299350399526,0.4334148487525557,0.27100278957628204,0.7147330060717442,0.4437302164954621,0.23617364393884993,0.7011038651984824,0.4649302212596325,2.226909,0.5192136831800847,0.2031757110855217,0.6797535579389168,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,sigma ML error propagated to ZT error; ML missed high ZT; possible missing structure/additive feature,True
10.1002_aenm.201601450__sample_3199,10.1002/aenm.201601450,https://doi.org/10.1002/aenm.201601450,,3199,PbTe0.85Se0.15Na0.02(SrTe)0.05,unknown,p,14,3,2,2,0.42170319562244224,0.9173985312813043,0.4956953356588621,0.341978818556312,0.708655563870801,0.36667674531448896,0.21248072971985563,0.6439822143736178,0.43150148465376215,0.2916867587809582,0.6863883296080595,0.39470157082710133,1.602461,1.169894373713014,0.5179806155971775,1.2886301524916477,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,ML missed high ZT; possible missing structure/additive feature,True
10.1002_andp.201900551__sample_35494,10.1002/andp.201900551,https://doi.org/10.1002/andp.201900551,,35494,(SnS)1.2(TiS2)2,unknown,n,18,0,0,0,0.7994160696801921,1.0702400284938314,0.2708239588136393,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_anie.201402026__sample_30772,10.1002/anie.201402026,https://doi.org/10.1002/anie.201402026,,30772,Bi0.67Sb1.5Te3,unknown,p,14,10,8,10,0.37411662142186614,0.3790411914316624,0.004924570009796292,0.4148423885426594,0.46600968200507403,0.05116729346241461,0.2406721889134116,0.24181818828295976,0.0011459993695481507,0.4148423885426256,0.4660096820050369,0.05116729346241128,0.9396308,1.2823360132263828,1.3628591475512,1.9639378665810543,unknown,no,no,ML_close_to_fitting,primary DOI test sample aggregate,ML false high-ZT prediction; possible missing structure/additive feature,True
10.1002_anie.201408431__sample_26814,10.1002/anie.201408431,https://doi.org/10.1002/anie.201408431,,26814,Si0.7Ge0.3(WSi2)0.02,unknown,n,19,0,0,0,0.2529409921428202,1.2791415774684107,1.0262005853255904,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_anie.201912909__sample_34054,10.1002/anie.201912909,https://doi.org/10.1002/anie.201912909,,34054,Mg3.5Sc0.05Sb2,unknown,n,18,0,0,0,0.10144374513311727,1.5428928784019087,1.4414491332687915,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_anie.201912909__sample_34056,10.1002/anie.201912909,https://doi.org/10.1002/anie.201912909,,34056,Mg3.5Sc0.04Sb2,unknown,n,36,0,0,0,0.24111033032015625,1.3762467913153904,1.1351364609952341,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_anie.201912909__sample_34057,10.1002/anie.201912909,https://doi.org/10.1002/anie.201912909,,34057,Mg3.5Sc0.06Sb2,unknown,n,18,0,0,0,0.09568367268929633,1.723604490493285,1.6279208178039888,,,,,,,,,,,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_ejic.201100282__sample_6265,10.1002/ejic.201100282,https://doi.org/10.1002/ejic.201100282,,6265,YbCd1.85Mn0.15Sb2,unknown,p,8,5,2,4,0.11730387845451211,1.14467474798769,1.0273708695331778,0.12672980300729975,2.2441535003807838,2.117423697373484,0.40093218619338505,0.8706161722934167,0.46968398610003165,0.08705086517932237,2.051726496809848,1.9646756316305254,1.146987,0.6559240518350802,2.0481523308060887,0.7623862315756752,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_ejic.201100282__sample_6266,10.1002/ejic.201100282,https://doi.org/10.1002/ejic.201100282,,6266,YbCd1.4Mn0.6Sb2,unknown,p,8,7,7,7,0.09450527413439828,2.0991731010854178,2.0046678269510196,0.07697515125802745,7.131517596499519,7.054542445241491,0.06104871209096787,7.069188542099807,7.008139830008839,0.07697515125802559,7.131517596498648,7.054542445240623,0.5360778,0.4663289463742433,3.79688387219576,0.5542427225041324,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,ML tau prediction much worse than fitting; sigma ML error propagated to ZT error; ML false high-ZT prediction; possible missing structure/additive feature,True
