sample_key,log_tau_eff_step12,tau_eff_step12,material_system,n_or_p,sigma_fit_log_rmse_step12,sigma_fit_mape_step12
10.1063_1.3673863__sample_2258,-0.7464346137137252,0.4740537278985594,unknown,n,0.1098895636367677,0.0943751732348474
10.1063_1.3673863__sample_2259,-0.790418338563364,0.4536549742102128,unknown,n,0.1070356728573555,0.0893543603331363
10.1063_1.3673863__sample_2260,-0.6095623864299609,0.5435886988230665,unknown,n,0.1154052868288086,0.0976547583866124
10.1063_1.3675505__sample_16855,-1.8350365434888063,0.1596076690404775,unknown,p,0.3672955264576693,0.2859089184641513
10.1063_1.3675505__sample_16856,-2.470663192775896,0.0845287815312666,unknown,p,0.4947259009690309,0.4272401853799848
10.1063_1.3675505__sample_16857,-2.1694467824331505,0.1142407994494863,unknown,p,0.6466237402288638,0.5763259657888422
10.1063_1.3675505__sample_16858,-2.1408256651437343,0.1175577396118715,unknown,p,0.6035518385606448,0.5311751199242876
10.1063_1.3675505__sample_16859,-2.228205144940514,0.1077216013880039,unknown,p,0.4810083343545992,0.4193351591192386
10.1063_1.3675505__sample_16860,-1.83804202448747,0.1591286913636357,unknown,p,0.4757430227844609,0.4095558533119836
10.1063_1.3675505__sample_16861,-0.2384415088187111,0.7878547694656058,unknown,p,0.2391090253203271,0.2022992710126129
10.1063_1.3675505__sample_16862,0.6330375769859306,1.8833226369639255,unknown,p,0.2751357238584034,0.2490720326201307
10.1063_1.3675505__sample_16863,0.9086523545607532,2.4809768023890038,unknown,p,0.1913699615679213,0.1564691169201721
10.1063_1.3675512__sample_8468,-3.4254110654844023,0.0325359038527745,unknown,n,1.6134617738312065,2.200238476524369
10.1063_1.3675512__sample_8469,-2.911638836461348,0.0543865261719226,unknown,n,1.1572711939003275,1.1316367411160282
10.1063_1.3675512__sample_8470,-2.67260770051272,0.0690718715024591,unknown,n,1.1024532867881385,0.9956115035881264
10.1063_1.3675512__sample_8471,-2.5236342507310803,0.08016772706811,unknown,n,0.9193568412082486,0.7948274288100453
10.1063_1.3675512__sample_8472,-2.5300076065819046,0.0796584143553403,unknown,n,0.9866676362105812,0.8558865013893683
10.1063_1.3675512__sample_8473,-2.6505729016967106,0.0706107484528205,unknown,n,1.0144808120765298,0.9245220945268646
10.1063_1.3675512__sample_8474,-2.466028184294698,0.0849214825337653,unknown,n,0.9640360815050996,0.8739561879268268
10.1063_1.3677982__sample_3984,-0.7583774715317197,0.4684258450234613,unknown,n,0.1016222247814851,0.086456155768854
