prefactor_group_key_step12,temperature_bin_K_step12,prefactor_source_step12,row_count,sample_count,median_prefactor_C_S_per_m_step12,min_prefactor_C_S_per_m_step12,max_prefactor_C_S_per_m_step12,example_sample_keys
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=1300.0,1300.0,material_system+n_or_p+fitting_source+temperature_bin,4,4,34372.14360596059,20262.024447753454,48482.26276416773,10.1063_1.336088__sample_6971;10.1063_1.336088__sample_6972;10.1063_1.336088__sample_6973;10.1063_1.348408__sample_21168
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=150.0,150.0,material_system+n_or_p+fitting_source+temperature_bin,2432,941,80864.21200655647,80445.2224221231,81386.8316106454,10.1002_adfm.200901261__sample_1417;10.1002_adfm.201102792__sample_20683;10.1002_adfm.201102792__sample_20684;10.1002_adfm.201102792__sample_20685;10.1002_adfm.201600718__sample_19144
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=175.0,175.0,material_system+n_or_p+fitting_source+temperature_bin,2315,914,75291.73690967014,75030.83717126735,75580.53408228603,10.1002_adfm.200901261__sample_1417;10.1002_adfm.201102792__sample_20683;10.1002_adfm.201102792__sample_20684;10.1002_adfm.201102792__sample_20685;10.1002_adfm.201902437__sample_41411
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=200.0,200.0,material_system+n_or_p+fitting_source+temperature_bin,2389,956,73116.4754136521,72833.21194464676,73910.15776862277,10.1002_adfm.200901261__sample_1417;10.1002_adfm.201102792__sample_20683;10.1002_adfm.201102792__sample_20684;10.1002_adfm.201102792__sample_20685;10.1002_adfm.201600718__sample_19144
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=225.0,225.0,material_system+n_or_p+fitting_source+temperature_bin,2355,918,69695.68771871379,69026.11741204519,70618.97531866813,10.1002_adfm.200901261__sample_1417;10.1002_adfm.201102792__sample_20683;10.1002_adfm.201102792__sample_20684;10.1002_adfm.201102792__sample_20685;10.1002_adfm.201902437__sample_41411
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=25.0,25.0,material_system+n_or_p+fitting_source+temperature_bin,2652,759,74074.07407407407,72947.31893293437,75766.25351034234,10.1002_adfm.200901261__sample_1417;10.1002_adfm.201102792__sample_20683;10.1002_adfm.201102792__sample_20684;10.1002_adfm.201102792__sample_20685;10.1002_adfm.201902437__sample_41411
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=250.0,250.0,material_system+n_or_p+fitting_source+temperature_bin,2502,958,66162.78749619357,65416.85583040812,66577.67450914488,10.1002_adfm.200901261__sample_1417;10.1002_adfm.201102792__sample_20683;10.1002_adfm.201102792__sample_20684;10.1002_adfm.201102792__sample_20685;10.1002_adfm.201600718__sample_19144
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=275.0,275.0,material_system+n_or_p+fitting_source+temperature_bin,2432,940,65831.28192353106,65047.37725722529,67235.70484870285,10.1002_adfm.200901261__sample_1417;10.1002_adfm.201102792__sample_20683;10.1002_adfm.201102792__sample_20684;10.1002_adfm.201102792__sample_20685;10.1002_adfm.201902437__sample_41411
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=300.0,300.0,material_system+n_or_p+fitting_source+temperature_bin,3705,2354,62173.08557342575,61931.46911353772,63470.02025328347,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005;10.1002_adfm.200901261__sample_1417
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=325.0,325.0,material_system+n_or_p+fitting_source+temperature_bin,3359,2312,53071.71102665633,52459.60620559608,53355.756983856336,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=350.0,350.0,material_system+n_or_p+fitting_source+temperature_bin,2599,1687,46647.012725305074,46339.668284632855,47453.750417422285,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19007
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=375.0,375.0,material_system+n_or_p+fitting_source+temperature_bin,3406,2577,44565.36514211707,44341.56874263538,44779.17374364192,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=400.0,400.0,material_system+n_or_p+fitting_source+temperature_bin,2180,1517,45031.636976557886,44856.46614438395,45607.62490980457,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=425.0,425.0,material_system+n_or_p+fitting_source+temperature_bin,2732,2130,49978.08173327905,49608.514408544965,50214.66770443646,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=450.0,450.0,material_system+n_or_p+fitting_source+temperature_bin,2114,1498,48638.46407242952,48557.03071814877,49016.12385394175,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.201000878__sample_26722
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=475.0,475.0,material_system+n_or_p+fitting_source+temperature_bin,2945,2345,46349.31905897905,46255.64088298462,46532.21029394863,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=50.0,50.0,material_system+n_or_p+fitting_source+temperature_bin,2360,791,79579.81855801369,78498.6664689746,80740.35677548852,10.1002_adfm.200901261__sample_1417;10.1002_adfm.201102792__sample_20683;10.1002_adfm.201102792__sample_20684;10.1002_adfm.201102792__sample_20685;10.1002_adfm.201600718__sample_19144
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=500.0,500.0,material_system+n_or_p+fitting_source+temperature_bin,2033,1512,46169.35195312518,45782.70616612809,46335.03151692951,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=525.0,525.0,material_system+n_or_p+fitting_source+temperature_bin,2459,1945,45600.00948480197,45441.49135339302,45785.78480565148,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=550.0,550.0,material_system+n_or_p+fitting_source+temperature_bin,1903,1388,42428.43383922169,42283.01116364701,42805.57242224166,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.201000878__sample_26722
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=575.0,575.0,material_system+n_or_p+fitting_source+temperature_bin,2530,2047,41227.67913675742,41012.0018311881,41456.58542005056,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=600.0,600.0,material_system+n_or_p+fitting_source+temperature_bin,1743,1379,43452.999300018506,42901.351148378366,43757.49073544527,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=625.0,625.0,material_system+n_or_p+fitting_source+temperature_bin,1903,1584,44966.89986500937,44890.16813248877,45190.08077726939,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=650.0,650.0,material_system+n_or_p+fitting_source+temperature_bin,1628,1295,44611.888356514086,44519.91063963537,44931.56181321136,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19007
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=675.0,675.0,material_system+n_or_p+fitting_source+temperature_bin,1976,1704,37697.21956276111,37486.87959214275,38343.33791598107,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=700.0,700.0,material_system+n_or_p+fitting_source+temperature_bin,1420,1177,45422.35952280923,45172.42313912203,45609.74297085446,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=725.0,725.0,material_system+n_or_p+fitting_source+temperature_bin,1466,1236,44574.091947966925,43906.0585970258,45157.79736970472,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=75.0,75.0,material_system+n_or_p+fitting_source+temperature_bin,2406,887,84249.68911864715,83756.93402717577,85147.79842161707,10.1002_adfm.200901261__sample_1417;10.1002_adfm.201102792__sample_20683;10.1002_adfm.201102792__sample_20684;10.1002_adfm.201102792__sample_20685;10.1002_adfm.201902437__sample_41411
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=750.0,750.0,material_system+n_or_p+fitting_source+temperature_bin,1227,1043,44590.021757354625,44335.039116767366,45116.031666040304,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=775.0,775.0,material_system+n_or_p+fitting_source+temperature_bin,1281,1169,38595.732855775466,37592.55757582137,39334.46295914045,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=800.0,800.0,material_system+n_or_p+fitting_source+temperature_bin,845,757,43964.489002942544,43654.53902637273,44620.48136691392,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_aenm.201200683__sample_106
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=825.0,825.0,material_system+n_or_p+fitting_source+temperature_bin,815,723,34398.1510305858,34128.58210806588,35707.725524253896,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=850.0,850.0,material_system+n_or_p+fitting_source+temperature_bin,785,701,38910.8994876991,38433.54110505655,39312.16294734293,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=875.0,875.0,material_system+n_or_p+fitting_source+temperature_bin,757,699,22619.04573412714,22451.524463690926,22837.83901059173,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=900.0,900.0,material_system+n_or_p+fitting_source+temperature_bin,501,442,29470.517351106217,28811.86938715304,30148.173333133498,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=925.0,925.0,material_system+n_or_p+fitting_source+temperature_bin,441,402,17917.659752958472,17609.11532332889,18199.233193508622,10.1002_adem.201400183__sample_19732;10.1002_adem.201400183__sample_19733;10.1002_adem.201400183__sample_19734;10.1002_adem.201400183__sample_19735;10.1002_adfm.200900250__sample_19005
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=950.0,950.0,material_system+n_or_p+fitting_source+temperature_bin,450,402,23995.145897451992,23820.460197223812,24500.015925010357,10.1002_adfm.200900250__sample_19007;10.1002_anie.201408431__sample_26814;10.1007_s11664-003-0006-5__sample_82021;10.1007_s11664-003-0006-5__sample_82022;10.1007_s11664-003-0006-5__sample_82023
material_system=unknown|n_or_p=n|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=975.0,975.0,material_system+n_or_p+fitting_source+temperature_bin,492,445,15269.279409500674,15093.697143759313,15421.969768004225,10.1002_adfm.200900250__sample_19005;10.1002_adfm.200900250__sample_19007;10.1002_adfm.201905044__sample_83184;10.1002_adfm.201905044__sample_83185;10.1002_pssa.201026347__sample_33747
material_system=unknown|n_or_p=n|temperature_bin_K_step12=1300.0,1300.0,material_system+n_or_p+temperature_bin,1,1,34372.14360596059,34372.14360596059,34372.14360596059,10.1021_acsami.9b20090__sample_35338
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=0.0,0.0,material_system+n_or_p+fitting_source+temperature_bin,205,111,79154.93,62540.78,89013.01999999999,10.1007_bf00323873__sample_21263;10.1007_s11661-014-2343-9__sample_24601;10.1007_s11661-014-2343-9__sample_24602;10.1007_s11664-006-0085-1__sample_14247;10.1007_s11664-006-0085-1__sample_14248
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=100.0,100.0,material_system+n_or_p+fitting_source+temperature_bin,648,295,57032.23,56473.369999999995,58805.295,10.1002_adma.202310480__sample_83873;10.1002_adma.202310480__sample_83874;10.1002_adma.202310480__sample_83875;10.1007_bf00323873__sample_21263;10.1007_bf00323873__sample_21264
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=1000.0,1000.0,material_system+n_or_p+fitting_source+temperature_bin,229,219,14708.275000000001,14495.76,14920.79,10.1002_adem.201200233__sample_18985;10.1002_adem.201200233__sample_18987;10.1002_adem.201200233__sample_18989;10.1002_adfm.201908315__sample_36216;10.1002_adfm.201908315__sample_36217
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=1025.0,1025.0,material_system+n_or_p+fitting_source+temperature_bin,118,107,10449.3845,9846.618,11272.73,10.1002_aenm.201701313__sample_31574;10.1002_pssa.201228102__sample_21181;10.1002_pssa.201228102__sample_21182;10.1002_pssa.201228102__sample_21183;10.1007_s11664-011-1589-x__sample_19863
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=1050.0,1050.0,material_system+n_or_p+fitting_source+temperature_bin,127,115,29939.67,28221.315000000002,32078.15,10.1002_aenm.201200973__sample_10288;10.1002_aenm.201701313__sample_31559;10.1002_aenm.201701313__sample_31560;10.1002_aenm.201701313__sample_31561;10.1002_aenm.201701313__sample_31562
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=1075.0,1075.0,material_system+n_or_p+fitting_source+temperature_bin,100,98,10228.205,9995.985,10644.400000000001,10.1002_aenm.201200973__sample_10288;10.1002_aenm.201701313__sample_31574;10.1002_pssa.201228102__sample_21181;10.1002_pssa.201228102__sample_21182;10.1002_pssa.201228102__sample_21183
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=1100.0,1100.0,material_system+n_or_p+fitting_source+temperature_bin,81,77,88321.18,83748.92499999999,91823.16,10.1002_advs.201600035__sample_31640;10.1002_advs.201600035__sample_31641;10.1002_advs.201600035__sample_31642;10.1002_advs.201600035__sample_31643;10.1002_aenm.201701313__sample_31559
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=1125.0,1125.0,material_system+n_or_p+fitting_source+temperature_bin,46,43,7087.808,5695.364,8088.235000000001,10.1002_aenm.201701313__sample_31574;10.1002_pssa.201228102__sample_21181;10.1002_pssa.201228102__sample_21182;10.1002_pssa.201228102__sample_21183;10.1002_pssa.201228102__sample_21184
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=1150.0,1150.0,material_system+n_or_p+fitting_source+temperature_bin,40,38,102453.9,101719.45,103549.9,10.1002_advs.201600035__sample_31640;10.1002_advs.201600035__sample_31641;10.1002_advs.201600035__sample_31642;10.1002_advs.201600035__sample_31643;10.1002_aenm.201701313__sample_31559
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=1175.0,1175.0,material_system+n_or_p+fitting_source+temperature_bin,20,19,14319.380000000001,11413.857,15205.66,10.1002_aenm.201701313__sample_31574;10.1002_pssa.201228102__sample_21181;10.1002_pssa.201228102__sample_21182;10.1002_pssa.201228102__sample_21183;10.1002_pssa.201228102__sample_21184
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=1200.0,1200.0,material_system+n_or_p+fitting_source+temperature_bin,33,33,98908.775,98416.52,99689.745,10.1002_aenm.201701313__sample_31559;10.1002_aenm.201701313__sample_31560;10.1002_aenm.201701313__sample_31561;10.1002_aenm.201701313__sample_31562;10.1002_aenm.201701313__sample_31563
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=1225.0,1225.0,material_system+n_or_p+fitting_source+temperature_bin,13,13,8529.300000000001,7835.513500000001,9121.6015,10.1002_pssa.201228102__sample_21181;10.1002_pssa.201228102__sample_21182;10.1002_pssa.201228102__sample_21183;10.1002_pssa.201228102__sample_21184;10.1002_pssa.201228102__sample_21185
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=125.0,125.0,material_system+n_or_p+fitting_source+temperature_bin,661,281,49198.33,48264.04,50027.62,10.1002_adma.202310480__sample_83873;10.1002_adma.202310480__sample_83874;10.1002_adma.202310480__sample_83875;10.1007_bf00323873__sample_21263;10.1007_bf00323873__sample_21264
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=150.0,150.0,material_system+n_or_p+fitting_source+temperature_bin,721,302,45901.64,39444.445,47433.115000000005,10.1002_adma.202310480__sample_83873;10.1002_adma.202310480__sample_83874;10.1002_adma.202310480__sample_83875;10.1007_bf00323873__sample_21263;10.1007_bf00323873__sample_21264
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=175.0,175.0,material_system+n_or_p+fitting_source+temperature_bin,644,277,34834.28,33720.93,36520.354999999996,10.1002_adma.202310480__sample_83873;10.1002_adma.202310480__sample_83874;10.1002_adma.202310480__sample_83875;10.1007_bf00323873__sample_21263;10.1007_bf00323873__sample_21264
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=200.0,200.0,material_system+n_or_p+fitting_source+temperature_bin,711,334,40750.7,39532.1,41556.4,10.1002_adma.202310480__sample_83873;10.1002_adma.202310480__sample_83874;10.1002_adma.202310480__sample_83875;10.1007_bf00323873__sample_21263;10.1007_bf00323873__sample_21264
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=225.0,225.0,material_system+n_or_p+fitting_source+temperature_bin,673,300,30723.56,29150.0,31992.3,10.1002_adma.201104305__sample_84022;10.1002_adma.202310480__sample_83873;10.1002_adma.202310480__sample_83874;10.1002_adma.202310480__sample_83875;10.1007_bf00323873__sample_21263
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=25.0,25.0,material_system+n_or_p+fitting_source+temperature_bin,435,151,72000.0,60970.86,78215.96,10.1002_adma.202310480__sample_83873;10.1002_adma.202310480__sample_83874;10.1007_bf00323873__sample_21263;10.1007_bf00323873__sample_21264;10.1007_s11661-014-2343-9__sample_24601
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=250.0,250.0,material_system+n_or_p+fitting_source+temperature_bin,763,342,30613.25,29760.92,31028.92,10.1002_adma.201104305__sample_84022;10.1002_adma.202310480__sample_83873;10.1002_adma.202310480__sample_83874;10.1002_adma.202310480__sample_83875;10.1002_asia.201300425__sample_12945
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=275.0,275.0,material_system+n_or_p+fitting_source+temperature_bin,750,346,31079.49,30315.845,31462.05,10.1002_adfm.201908315__sample_36225;10.1002_adma.201104305__sample_84022;10.1002_adma.202310480__sample_83873;10.1002_adma.202310480__sample_83874;10.1002_adma.202310480__sample_83875
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=300.0,300.0,material_system+n_or_p+fitting_source+temperature_bin,4475,3759,63480.77,63326.58,63623.3,10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84409;10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84410;10.1002_adem.201200233__sample_18985;10.1002_adem.201200233__sample_18987;10.1002_adem.201400183__sample_19725
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=325.0,325.0,material_system+n_or_p+fitting_source+temperature_bin,5291,4304,54092.53,54008.3,54577.275,10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84409;10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84410;10.1002_adem.201200233__sample_18985;10.1002_adem.201200233__sample_18987;10.1002_adem.201200233__sample_18989
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=350.0,350.0,material_system+n_or_p+fitting_source+temperature_bin,3869,2861,51080.83,50850.96,51432.905,10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84409;10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84410;10.1002_adem.201200233__sample_18989;10.1002_adfm.200400109__sample_3326;10.1002_adfm.200400109__sample_3327
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=375.0,375.0,material_system+n_or_p+fitting_source+temperature_bin,5146,4385,47082.0,47009.465,47300.0,10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84409;10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84410;10.1002_adem.201200233__sample_18985;10.1002_adem.201200233__sample_18987;10.1002_adem.201200233__sample_18989
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=400.0,400.0,material_system+n_or_p+fitting_source+temperature_bin,3705,2911,46456.3,46342.58,46648.72,10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84409;10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84410;10.1002_adfm.200400109__sample_3326;10.1002_adfm.200400109__sample_3327;10.1002_adfm.200400109__sample_3328
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=425.0,425.0,material_system+n_or_p+fitting_source+temperature_bin,4744,4116,46151.58500000001,46102.57,46394.49,10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84409;10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84410;10.1002_adem.201200233__sample_18985;10.1002_adem.201200233__sample_18987;10.1002_adem.201200233__sample_18989
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=450.0,450.0,material_system+n_or_p+fitting_source+temperature_bin,3338,2665,41739.259999999995,41583.0,41818.18,10.1002_adfm.200400109__sample_3326;10.1002_adfm.200400109__sample_3327;10.1002_adfm.200400109__sample_3328;10.1002_adfm.200400109__sample_3329;10.1002_adfm.201300146__sample_1422
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=475.0,475.0,material_system+n_or_p+fitting_source+temperature_bin,4836,4276,40230.285,40218.68,40422.57,10.1002_adem.201200233__sample_18985;10.1002_adem.201200233__sample_18987;10.1002_adem.201200233__sample_18989;10.1002_adem.201400183__sample_19725;10.1002_adem.201400183__sample_19726
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=50.0,50.0,material_system+n_or_p+fitting_source+temperature_bin,452,170,68442.62,61818.494999999995,70976.67,10.1002_adma.202310480__sample_83873;10.1002_adma.202310480__sample_83874;10.1002_adma.202310480__sample_83875;10.1007_bf00323873__sample_21263;10.1007_bf00323873__sample_21264
