sample_key,classification_case_step15,threshold_step15,material_system,n_or_p,composition,DOI,paper_title,zt_obs_max_step14,zt_pred_max_step14,zt_calc_from_obs_max_step14,zt_pred_vs_obs_mape_step14,zt_pred_vs_calc_mape_step14,nanocarbon_keyword_detected_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,manual_review_priority_score_step15,needs_manual_review_step15,needs_sintering_check_later_step15,sintering_check_reason_step15,doi_url
10.1016_j.mtphys.2020.100206__sample_35860,true_positive,1.0,unknown,n,Y0.05Ce0.15Co4Sb12,10.1016/j.mtphys.2020.100206,,,1.3562790797224396,1.367381907905271,,0.04648206605488652,False,True,True,35,no,yes,high predicted ZT,https://doi.org/10.1016/j.mtphys.2020.100206
10.1016_j.mtphys.2020.100206__sample_35861,true_positive,1.0,unknown,n,Y0.1Ce0.15Co4Sb12,10.1016/j.mtphys.2020.100206,,,1.2527097590832301,1.2102109259513691,,0.05193247637564156,False,True,True,35,no,yes,high predicted ZT,https://doi.org/10.1016/j.mtphys.2020.100206
10.1016_j.mtphys.2020.100221__sample_33592,false_negative,1.0,unknown,p,Na0.02Sn0.98S0.5Se0.5,10.1016/j.mtphys.2020.100221,,1.032763,0.4033096739244318,0.6225598157021484,0.4204139416371682,0.22070038390784757,False,True,True,100,yes,yes,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,https://doi.org/10.1016/j.mtphys.2020.100221
10.1016_j.mtphys.2020.100223__sample_34480,true_positive,1.0,unknown,n,PEDOT:PSSe-coated Ag2Se/CuAgSe,10.1016/j.mtphys.2020.100223,,,1.1508160417428532,1.1681841907097987,,0.11225910149871707,False,True,True,35,no,yes,high predicted ZT,https://doi.org/10.1016/j.mtphys.2020.100223
10.1016_j.mtphys.2021.100444__sample_45584,true_positive,1.0,unknown,p,Ge0.9Sb0.1Te,10.1016/j.mtphys.2021.100444,,1.792042,1.6106151382121345,1.8098876452789168,0.19351309188298804,0.20095389628845461,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2021.100444
10.1016_j.mtphys.2021.100444__sample_45585,true_positive,1.0,unknown,p,(Ge0.9Sb0.1Te)0.995(FeTe2)0.005,10.1016/j.mtphys.2021.100444,,1.801592,1.387183482555912,1.7423958318713129,0.19816317037511735,0.15803721456589237,False,True,True,75,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2021.100444
10.1016_j.mtphys.2021.100444__sample_45586,true_positive,1.0,unknown,p,(Ge0.9Sb0.1Te)0.99(FeTe2)0.01,10.1016/j.mtphys.2021.100444,,1.916967,1.9742906384505754,2.0002292864197555,0.18757086124232014,0.15792944716191534,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2021.100444
10.1016_j.mtphys.2021.100444__sample_45587,true_positive,1.0,unknown,p,(Ge0.9Sb0.1Te)0.985(FeTe2)0.015,10.1016/j.mtphys.2021.100444,,1.928685,1.7942304726698375,1.903948050434088,0.13370037790080158,0.1463421772019992,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2021.100444
10.1016_j.mtphys.2021.100444__sample_45588,true_positive,1.0,unknown,p,(Ge0.9Sb0.1Te)0.98(FeTe2)0.02,10.1016/j.mtphys.2021.100444,,1.826325,1.6282647710276825,1.8141146012740597,0.1431581472522749,0.12720528362534808,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2021.100444
10.1016_j.mtphys.2021.100497__sample_45589,true_positive,1.0,unknown,p,Ge0.9Sb0.1Te,10.1016/j.mtphys.2021.100497,,1.746905,1.5902346471833972,1.7378535092895593,0.1837022892176772,0.1944129218867014,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2021.100497
10.1016_j.mtphys.2021.100497__sample_45590,true_positive,1.0,unknown,p,Ge0.89Al0.01Sb0.1Te,10.1016/j.mtphys.2021.100497,,1.81912,1.4523007361448117,1.8117834557154529,0.19708843219380462,0.19787382053014976,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2021.100497
10.1016_j.mtphys.2021.100497__sample_45591,true_positive,1.0,unknown,p,Ge0.88Al0.02Sb0.1Te,10.1016/j.mtphys.2021.100497,,1.84663,1.8938734815880467,1.8897921563249789,0.14521752650361455,0.14454646947004163,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2021.100497
10.1016_j.mtphys.2021.100497__sample_45592,true_positive,1.0,unknown,p,Ge0.87Al0.03Sb0.1Te,10.1016/j.mtphys.2021.100497,,2.059835,1.9738012272711583,2.0737983996146503,0.20380018355292726,0.1869591732985414,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2021.100497
10.1016_j.mtphys.2021.100497__sample_45593,true_positive,1.0,unknown,p,Ge0.86Al0.04Sb0.1Te,10.1016/j.mtphys.2021.100497,,1.599037,1.6425841202899014,1.6108015425958673,0.12485916249676787,0.1015218411145379,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2021.100497
10.1016_j.mtphys.2021.100497__sample_45594,true_positive,1.0,unknown,p,Ge0.85Al0.05Sb0.1Te,10.1016/j.mtphys.2021.100497,,1.426243,1.6307478824814277,1.5678916405704608,0.09166547036562425,0.06648036800644912,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2021.100497
10.1016_j.mtphys.2021.100497__sample_45595,true_positive,1.0,unknown,p,Ge0.76Pb0.1Sb0.1Te,10.1016/j.mtphys.2021.100497,,1.825997,1.5673773857808042,1.899375762912152,0.46873416404433893,0.4544770964242821,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2021.100497
10.1016_j.mtphys.2021.100497__sample_45596,true_positive,1.0,unknown,p,Ge0.75Al0.01Pb0.1Sb0.1Te,10.1016/j.mtphys.2021.100497,,2.052957,1.4069397144331828,2.1350468721826936,0.681387217951474,0.6441479710246191,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2021.100497
