sample_key,target_log_tau_eff_step18,target_tau_eff_step18,target_available_step18,target_quality_step18,target_quality_note_step18,use_for_tau_eff_ml_step18,ml_exclusion_reason_step18
10.1109_ict.2006.331294__sample_12407,-0.4761784228933607,0.6211526445077089,True,low,ok,False,large validation error
10.1109_ict.2006.331294__sample_12410,-2.31430556958162,0.0988347940643098,True,low,ok,False,large validation error
10.1109_ict.2006.331296__sample_12411,-0.1781567478131836,0.8368112448753745,True,medium,ok,True,ok
10.1109_ict.2006.331296__sample_12412,0.6309793992794801,1.87945041053046,True,medium,ok,True,ok
10.1109_ict.2006.331296__sample_12413,0.7907935988725167,2.205145733207724,True,medium,ok,True,ok
10.1109_ict.2006.331296__sample_12414,1.0260891408329995,2.79013265370272,True,medium,ok,True,ok
10.1109_ict.2006.331296__sample_12415,1.0904389994070678,2.9755800637610843,True,medium,ok,True,ok
10.1109_ict.2006.331296__sample_12416,1.1964819743047257,3.3084571877402644,True,medium,ok,True,ok
10.1109_ict.2006.331296__sample_12417,-0.6476040798040649,0.5232980563627024,True,medium,ok,True,ok
10.1109_ict.2006.331296__sample_12418,0.1156204786433634,1.12256975208231,True,medium,ok,True,ok
10.1109_ict.2006.331296__sample_12419,0.474716052898982,1.607557671333717,True,medium,ok,True,ok
10.1109_ict.2006.331296__sample_12420,0.6623026905591552,1.93925269588965,True,medium,ok,True,ok
10.1109_ict.2006.331296__sample_12421,1.0505286311545046,2.859162160829829,True,medium,ok,True,ok
10.1109_ict.2006.331296__sample_12422,1.3057250434185206,3.6903637979331343,True,medium,ok,True,ok
10.1109_ict.2006.331297__sample_12423,-2.413177942847839,0.0895303197559125,True,medium,ok,True,ok
10.1109_ict.2006.331297__sample_12424,-0.3621383376543106,0.6961860524344433,True,medium,ok,True,ok
10.1109_ict.2006.331297__sample_12425,-2.809204230075079,0.0602529207821058,True,low,ok,False,large validation error
10.1109_ict.2006.331297__sample_12426,0.2762672858571547,1.318200153202099,True,medium,ok,True,ok
