sample_key,composition,material_system,n_or_p,fit_status_step12,n_fit_rows_step12,sigma_fit_log_rmse_step12,validation_sigma_log_rmse_step13,target_available_step18,target_quality_step18,ml_exclusion_reason_step18
10.1039_c2jm16369a__sample_13548,In4Se2.32F0.03,unknown,n,ok,9,1.536511395808991,2.5365160342817124,True,low,large sigma fit error
10.1039_c2jm31763j__sample_21893,Al0.02ZnO,unknown,n,ok,9,0.6330467981061073,1.1669792831307388,True,low,large validation error
10.1039_c2jm31919e__sample_8701,Mg2.16(Si0.4Sn0.6),unknown,n,ok,26,0.7890765394607038,1.4628520103690703,True,low,large validation error
10.1039_c3cc44578j__sample_26806,BiCuSeO,unknown,p,ok,25,0.6667648276219147,1.388561748336832,True,low,large validation error
10.1039_c3cc44578j__sample_26807,BiCuSe0.98Te0.02O,unknown,p,ok,30,1.0334597846272071,1.7313091519515331,True,low,large sigma fit error
10.1039_c3cc44578j__sample_26808,BiCuSe0.96Te0.04O,unknown,p,ok,29,1.1403952331042209,1.871117913374288,True,low,large sigma fit error
10.1039_c3cc44578j__sample_26809,BiCuSe0.94Te0.06O,unknown,p,ok,31,1.3908502340200315,2.181727597844381,True,low,large sigma fit error
10.1039_c3cc44578j__sample_26810,BiCuSe0.92Te0.08O,unknown,p,ok,25,1.041481063698972,1.7883324120331423,True,low,large sigma fit error
10.1039_c3cc44578j__sample_26811,BiCuSe0.9Te0.1O,unknown,p,ok,26,1.1571640369711746,2.0310250393402782,True,low,large sigma fit error
10.1039_c3cc44578j__sample_26812,BiCuSe0.85Te0.15O,unknown,p,ok,30,1.0571774557379887,1.853958733936396,True,low,large sigma fit error
10.1039_c3cc44578j__sample_26813,BiCuSe0.8Te0.2O,unknown,p,ok,31,1.2561849210039373,2.120784658959828,True,low,large sigma fit error
10.1039_c3ce40334c__sample_27261,CuInTe2,unknown,p,ok,9,0.762659067388927,1.3787562258141854,True,low,large validation error
10.1039_c3ce40334c__sample_27264,CuInTe2,unknown,p,ok,9,0.7418467010761407,1.318435960107309,True,low,large validation error
10.1039_c3ce40334c__sample_27265,CuInTe2,unknown,p,ok,9,0.6364795248189488,1.119807416622936,True,low,large validation error
